Base Query,Rewritten 1,Rewritten 2,Rewritten 3,Điều,Chương,Trả lời
Điều gì xảy ra khi giấy phép lái xe bị trừ hết điểm?,Người lái xe bị trừ hết điểm sẽ bị xử lý như thế nào?,Hậu quả khi giấy phép lái xe bị trừ sạch điểm là gì?,"Khi không còn điểm trên giấy phép lái xe, người lái xe phải làm gì?",58,4,"Người có giấy phép lái xe bị trừ hết điểm không được điều khiển phương tiện. Sau ít nhất 06 tháng kể từ ngày bị trừ hết điểm, người đó phải tham gia kiểm tra kiến thức pháp luật về giao thông. Nếu đạt yêu cầu, họ sẽ được phục hồi đủ 12 điểm."
"Sau khi đổi, cấp lại hoặc nâng hạng, điểm trên giấy phép lái xe có thay đổi không?","Khi đổi giấy phép lái xe, điểm số có được giữ lại không?",Việc nâng hạng giấy phép lái xe có ảnh hưởng đến số điểm không?,Điểm số trên giấy phép lái xe có bị mất sau khi cấp lại không?,58,4,"Sau khi đổi, cấp lại hoặc nâng hạng, giấy phép lái xe vẫn giữ nguyên số điểm như trước đó."
Ai có thẩm quyền trừ điểm giấy phép lái xe?,Cơ quan nào được phép trừ điểm trên giấy phép lái xe?,Những ai có quyền trừ điểm giấy phép lái xe?,Ai chịu trách nhiệm xử lý và trừ điểm người vi phạm giao thông?,58,4,Người có thẩm quyền xử phạt vi phạm hành chính có thẩm quyền trừ điểm giấy phép lái xe.
Chính phủ có vai trò gì trong việc quy định trừ điểm giấy phép lái xe?,Ai quy định chi tiết về việc trừ và phục hồi điểm giấy phép lái xe?,Chính phủ điều chỉnh như thế nào về việc trừ điểm GPLX?,Ai chịu trách nhiệm ban hành lộ trình thực hiện quy định về điểm giấy phép lái xe?,58,4,"Chính phủ quy định chi tiết về việc trừ điểm, phục hồi điểm giấy phép lái xe, bao gồm trình tự, thủ tục và lộ trình thực hiện."
Bộ Công an đảm nhiệm vai trò gì trong việc phục hồi điểm giấy phép lái xe?,Ai chịu trách nhiệm tổ chức kiểm tra để phục hồi điểm GPLX?,Bộ Công an làm gì để hỗ trợ người bị trừ hết điểm GPLX?,Vai trò của Bộ Công an trong việc khôi phục điểm giấy phép lái xe là gì?,58,4,"Bộ trưởng Bộ Công an quy định chi tiết về việc phục hồi điểm giấy phép lái xe, bao gồm tổ chức kiểm tra và xác nhận kết quả đạt yêu cầu để phục hồi đủ 12 điểm."
Người lái xe gắn máy cần tối thiểu bao nhiêu tuổi?,Bao nhiêu tuổi thì được phép lái xe gắn máy?,Độ tuổi tối thiểu để điều khiển xe gắn máy là bao nhiêu?,Người lái xe gắn máy phải đủ bao nhiêu tuổi?,59,4,Người đủ 16 tuổi trở lên được phép điều khiển xe gắn máy.
Người đủ 18 tuổi trở lên được cấp các loại giấy phép lái xe nào?,Đủ 18 tuổi được thi và cấp giấy phép lái xe hạng nào?,Người từ 18 tuổi trở lên có thể lái xe thuộc hạng nào?,Những loại bằng lái xe nào được cấp cho người từ 18 tuổi?,59,4,"Người đủ 18 tuổi trở lên được cấp giấy phép lái xe hạng A1, A, B1, B, C1 và được cấp chứng chỉ bồi dưỡng kiến thức pháp luật về giao thông để lái xe máy chuyên dùng."
Độ tuổi tối thiểu để được cấp giấy phép lái xe hạng C và BE là bao nhiêu?,Bao nhiêu tuổi thì được lái xe hạng C hoặc BE?,Người lái xe hạng C và BE phải đủ mấy tuổi?,"Muốn thi bằng lái xe hạng C, BE cần đạt độ tuổi nào?",59,4,Người đủ 21 tuổi trở lên được cấp giấy phép lái xe hạng C và BE.
"Để lái xe hạng D1, D2, C1E, CE, người điều khiển phải đủ bao nhiêu tuổi?","Độ tuổi tối thiểu để lái xe hạng D1, D2, C1E, CE là bao nhiêu?","Muốn được cấp bằng lái xe hạng D1, D2, C1E, CE cần mấy tuổi?","Người lái xe hạng D1, D2, C1E, CE cần đáp ứng yêu cầu về tuổi ra sao?",59,4,"Người đủ 24 tuổi trở lên được cấp giấy phép lái xe hạng D1, D2, C1E, CE."
"Bao nhiêu tuổi thì được cấp giấy phép lái xe hạng D, D1E, D2E, DE?",Người lái xe hạng D và các hạng nâng cao cần đủ bao nhiêu tuổi?,"Để thi bằng lái xe hạng D, D1E, D2E, DE cần tối thiểu bao nhiêu tuổi?",Độ tuổi yêu cầu cho giấy phép lái xe hạng D và các hạng tương ứng là gì?,59,4,"Người đủ 27 tuổi trở lên được cấp giấy phép lái xe hạng D, D1E, D2E, DE."
Độ tuổi tối đa để lái xe chở người trên 29 chỗ hoặc xe giường nằm là bao nhiêu?,Người lái xe buýt trên 29 chỗ được lái đến bao nhiêu tuổi?,Tuổi giới hạn cho lái xe giường nằm là bao nhiêu?,Bao nhiêu tuổi thì không được lái xe khách lớn và xe giường nằm?,59,4,"Nam: Đủ 57 tuổi trở lên không được lái xe chở người trên 29 chỗ hoặc xe giường nằm.
Nữ: Đủ 55 tuổi trở lên không được lái xe chở người trên 29 chỗ hoặc xe giường nằm."
Ai quy định tiêu chuẩn và việc khám sức khỏe cho người lái xe?,Cơ quan nào ban hành quy định về sức khỏe người lái xe?,Ai chịu trách nhiệm quản lý và giám sát khám sức khỏe lái xe?,Việc khám sức khỏe lái xe do đơn vị nào quy định?,59,4,"Bộ trưởng Bộ Y tế quy định tiêu chuẩn sức khỏe, khám sức khỏe định kỳ cho người lái xe và xây dựng cơ sở dữ liệu về sức khỏe người lái."
Ai quy định độ tuổi lái xe trong lực lượng quân đội và công an?,"Độ tuổi lái xe trong quân đội, công an do ai quy định?","Ai xác định tuổi cho lái xe làm nhiệm vụ quốc phòng, an ninh?",Cơ quan nào quản lý tuổi lái xe trong lực lượng vũ trang?,59,4,"Bộ trưởng Bộ Quốc phòng và Bộ trưởng Bộ Công an quy định độ tuổi lái xe cho lực lượng quân đội, công an làm nhiệm vụ quốc phòng, an ninh."
